name,id,recclass,mass (g),year,reclat,reclong,GeoLocation
Aleppo,462,L6,3200,1873,36.23333,37.13333,"(36.23333, 37.13333)"
Alessandria,463,H5,908,1860,44.88333,8.75,"(44.88333, 8.75)"
Alexandrovsky,465,H4,9251,1900,50.95,31.81667,"(50.95, 31.81667)"
Alfianello,466,L6,228000,1883,45.26667,10.15,"(45.26667, 10.15)"
Allegan,2276,H5,32000,1899,42.53333,-85.88333,"(42.53333, -85.88333)"
Allende,2278,CV3,2000000,1969,26.96667,-105.31667,"(26.96667, -105.31667)"
Almahata Sitta,48915,Ureilite-an,3950,2008,20.74575,32.41275,"(20.74575, 32.41275)"
Alta'ameem,2284,LL5,6000,1977,35.27333,44.21556,"(35.27333, 44.21556)"
Ambapur Nagla,2290,H5,6400,1895,27.66667,78.25,"(27.66667, 78.25)"
Andhara,2294,Stone-uncl,2700,1880,26.58333,85.56667,"(26.58333, 85.56667)"
Andover,2295,L6,3200,1898,44.61667,-70.75,"(44.61667, -70.75)"
Andreevka,2296,L3,600,1969,48.7,37.5,"(48.7, 37.5)"
Andura,2298,H6,17900,1939,20.88333,76.86667,"(20.88333, 76.86667)"
Northwest Africa 5815,50693,L5,256.8,,0,0,"(0.0, 0.0)"
Angers,2301,L6,,1822,47.46667,-0.55,"(47.46667, -0.55)"
Angra dos Reis (stone),2302,Angrite,1500,1869,-22.96667,-44.31667,"(-22.96667, -44.31667)"
Ankober,2304,H4,6500,1942,9.53333,39.71667,"(9.53333, 39.71667)"
Anlong,2305,H5,2500,1971,25.15,105.18333,"(25.15, 105.18333)"
Aomori,2313,L6,320,1984,40.81056,140.78556,"(40.81056, 140.78556)"
Appley Bridge,2318,LL6,15000,1914,53.58333,-2.71667,"(53.58333, -2.71667)"
Apt,2320,L6,3200,1803,43.86667,5.38333,"(43.86667, 5.38333)"
Arbol Solo,2325,H5,810,1954,-33,-66,"(-33.0, -66.0)"
Archie,2329,H6,5070,1932,38.5,-94.3,"(38.5, -94.3)"
Arroyo Aguiar,2340,H5,7450,1950,-31.41667,-60.66667,"(-31.41667, -60.66667)"
Asco,2345,H6,41,1805,42.45,9.03333,"(42.45, 9.03333)"
Ash Creek,48954,L6,9500,2009,31.805,-97.01,"(31.805, -97.01)"
Ashdon,2346,L6,1300,1923,52.05,0.3,"(52.05, 0.3)"
Assisi,2353,H5,2000,1886,43.03333,12.55,"(43.03333, 12.55)"
Atarra,4883,L4,1280,1920,25.25417,80.625,"(25.25417, 80.625)"
Atemajac,4884,L6,94.2,1896,20.06667,-103.66667,"(20.06667, -103.66667)"
Athens,4885,LL6,265,1933,34.75,-87,"(34.75, -87.0)"
Atoka,4888,L6,1384.2,1945,34.31667,-96.15,"(34.31667, -96.15)"
Aubres,4893,Aubrite,800,1836,44.38333,5.16667,"(44.38333, 5.16667)"
Aumale,4899,L6,50000,1865,36.16667,3.66667,"(36.16667, 3.66667)"
Aumieres,4900,L6,2000,1842,44.33333,3.23333,"(44.33333, 3.23333)"
Ausson,4903,L5,50000,1858,43.08333,0.58333,"(43.08333, 0.58333)"
Avanhandava,4905,H4,9330,1952,-21.46028,-49.95083,"(-21.46028, -49.95083)"
Avce,4906,"Iron, IIAB",1230,1908,46,13.5,"(46.0, 13.5)"
Avilez,4907,H,146,1855,25,-103.5,"(25.0, -103.5)"
Awere,4910,L4,134,1968,2.71667,32.83333,"(2.71667, 32.83333)"
Aztec,4913,L6,2830,1938,36.8,-108,"(36.8, -108.0)"
Bachmut,4917,L6,18000,1814,48.6,38,"(48.6, 38.0)"
Bahjoi,4922,"Iron, IAB-sLL",10322,1934,28.48333,78.5,"(28.48333, 78.5)"
Bald Mountain,4925,L4,3700,1929,35.96667,-82.48333,"(35.96667, -82.48333)"
Baldwyn,4926,L6,345,1922,34.5,-88.66667,"(34.5, -88.66667)"
Bali,4928,CV3,1000,1907,5.38333,16.38333,"(5.38333, 16.38333)"
Ban Rong Du,4934,"Iron, ungrouped",16700,1993,16.66667,101.18333,"(16.66667, 101.18333)"
Bandong,4935,LL6,11500,1871,-6.91667,107.6,"(-6.91667, 107.6)"
Bansur,4936,L6,15000,1892,27.7,76.33333,"(27.7, 76.33333)"
Banswal,4937,L5,14,1913,30.4,78.2,"(30.4, 78.2)"
Banten,4938,CM2,629,1933,-6.33333,106,"(-6.33333, 106.0)"
Barbotan,4942,H5,6400,1790,43.95,-0.05,"(43.95, -0.05)"
Barcelona (stone),4944,OC,,1704,41.36667,2.16667,"(41.36667, 2.16667)"
Barea,4946,Mesosiderite-A1,3200,1842,42.38333,-2.5,"(42.38333, -2.5)"
Barnaul,4947,H5,23.2,1904,52.73333,84.08333,"(52.73333, 84.08333)"
Barntrup,4948,LL4,17,1886,52,9.1,"(52.0, 9.1)"
Baroti,4949,L6,4500,1910,31.61667,76.8,"(31.61667, 76.8)"
Barwell,4954,L5,44000,1965,52.56528,-1.33972,"(52.56528, -1.33972)"
Bassikounou,44876,H5,29560,2006,15.78333,-5.9,"(15.78333, -5.9)"
Baszkówka,4957,L5,15500,1994,52.03333,20.93583,"(52.03333, 20.93583)"
Bath,4974,H4,21000,1892,45.41667,-98.31667,"(45.41667, -98.31667)"
Bath Furnace,4975,L6,86000,1902,38.25,-83.75,"(38.25, -83.75)"
Battle Mountain,56133,L6,2900,2012,40.66813,-117.18913,"(40.66813, -117.18913)"
